
 ========================================
 Usage Information
 For: 23c9fdef9e2cca96434d1534b94995cc4d046bcf
 ========================================
 Meter Reading Information
 Type of readings: Electricity, Energy Consumption, Real energy in kilowatt-hours 
 ========================================
 Detailed Usage
 ========================================
 Start date: 2022-01-13 00:00 for 401 days
 ========================================
 Interval Blockdata for period starting:, 2022-01-13 00:00  for 401 days
 ========================================
 Energy consumption time period,Usage(Real energy in kilowatt-hours),Cost(US Dollar),Events occurred
 2022-04-06 00:00 to 2022-04-07 00:00,11.980,1.12,
 2022-04-07 00:00 to 2022-04-08 00:00,3.520,0.33,
 2022-04-08 00:00 to 2022-04-09 00:00,3.690,0.34,
 2022-04-09 00:00 to 2022-04-10 00:00,8.560,0.80,
 2022-04-10 00:00 to 2022-04-11 00:00,20.340,1.90,
 2022-04-11 00:00 to 2022-04-12 00:00,17.310,1.62,
 2022-04-12 00:00 to 2022-04-13 00:00,19.370,1.81,
 2022-04-13 00:00 to 2022-04-14 00:00,16.310,1.52,
 2022-04-14 00:00 to 2022-04-15 00:00,8.660,0.81,
 2022-04-15 00:00 to 2022-04-16 00:00,8.840,0.83,
 2022-04-16 00:00 to 2022-04-17 00:00,26.070,2.44,
 2022-04-17 00:00 to 2022-04-18 00:00,14.140,1.32,
 2022-04-18 00:00 to 2022-04-19 00:00,16.740,1.56,
 2022-04-19 00:00 to 2022-04-20 00:00,6.340,0.59,
 2022-04-20 00:00 to 2022-04-21 00:00,10.060,0.94,
 2022-04-21 00:00 to 2022-04-22 00:00,14.760,1.38,
 2022-04-22 00:00 to 2022-04-23 00:00,15.930,1.49,
 2022-04-23 00:00 to 2022-04-24 00:00,19.590,1.83,
 2022-04-24 00:00 to 2022-04-25 00:00,22.550,2.11,
 2022-04-25 00:00 to 2022-04-26 00:00,13.250,1.24,
 2022-04-26 00:00 to 2022-04-27 00:00,8.820,0.82,
 2022-04-27 00:00 to 2022-04-28 00:00,8.060,0.75,
 2022-04-28 00:00 to 2022-04-29 00:00,15.920,1.49,
 2022-04-29 00:00 to 2022-04-30 00:00,12.150,1.14,
 2022-04-30 00:00 to 2022-05-01 00:00,15.710,1.47,
 2022-05-01 00:00 to 2022-05-02 00:00,23.510,2.20,
 2022-05-02 00:00 to 2022-05-03 00:00,32.080,3.00,
 2022-05-03 00:00 to 2022-05-04 00:00,16.510,1.54,
 2022-05-04 00:00 to 2022-05-05 00:00,17.020,1.59,
 2022-05-05 00:00 to 2022-05-06 00:00,14.490,1.35,
 2022-05-06 00:00 to 2022-05-07 00:00,14.870,1.39,
 2022-05-07 00:00 to 2022-05-08 00:00,22.260,2.08,
 2022-05-08 00:00 to 2022-05-09 00:00,28.170,2.63,
 2022-05-09 00:00 to 2022-05-10 00:00,30.400,2.84,
 2022-05-10 00:00 to 2022-05-11 00:00,20.770,1.94,
 2022-05-11 00:00 to 2022-05-12 00:00,16.540,1.55,
 2022-05-12 00:00 to 2022-05-13 00:00,18.680,1.75,
 2022-05-13 00:00 to 2022-05-14 00:00,16.450,1.54,
 2022-05-14 00:00 to 2022-05-15 00:00,23.090,2.16,
 2022-05-15 00:00 to 2022-05-16 00:00,22.480,2.18,
 2022-05-16 00:00 to 2022-05-17 00:00,22.280,2.16,
 2022-05-17 00:00 to 2022-05-18 00:00,19.810,1.92,
 2022-05-18 00:00 to 2022-05-19 00:00,23.190,2.24,
 2022-05-19 00:00 to 2022-05-20 00:00,18.550,1.79,
 2022-05-20 00:00 to 2022-05-21 00:00,26.430,2.56,
 2022-05-21 00:00 to 2022-05-22 00:00,32.680,3.16,
 2022-05-22 00:00 to 2022-05-23 00:00,15.510,1.50,
 2022-05-23 00:00 to 2022-05-24 00:00,16.920,1.64,
 2022-05-24 00:00 to 2022-05-25 00:00,15.730,1.52,
 2022-05-25 00:00 to 2022-05-26 00:00,13.680,1.32,
 2022-05-26 00:00 to 2022-05-27 00:00,15.070,1.46,
 2022-05-27 00:00 to 2022-05-28 00:00,25.730,2.49,
 2022-05-28 00:00 to 2022-05-29 00:00,20.440,1.98,
 2022-05-29 00:00 to 2022-05-30 00:00,24.010,2.32,
 2022-05-30 00:00 to 2022-05-31 00:00,38.820,3.76,
 2022-05-31 00:00 to 2022-06-01 00:00,24.440,2.36,
 2022-06-01 00:00 to 2022-06-02 00:00,20.470,1.98,
 2022-06-02 00:00 to 2022-06-03 00:00,20.950,2.03,
 2022-06-03 00:00 to 2022-06-04 00:00,17.440,1.69,
 2022-06-04 00:00 to 2022-06-05 00:00,20.300,1.96,
 2022-06-05 00:00 to 2022-06-06 00:00,35.810,3.46,
 2022-06-06 00:00 to 2022-06-07 00:00,25.440,2.46,
 2022-06-07 00:00 to 2022-06-08 00:00,25.310,2.45,
 2022-06-08 00:00 to 2022-06-09 00:00,29.000,2.81,
 2022-06-09 00:00 to 2022-06-10 00:00,28.210,2.73,
 2022-06-10 00:00 to 2022-06-11 00:00,27.310,2.64,
 2022-06-11 00:00 to 2022-06-12 00:00,37.350,3.61,
 2022-06-12 00:00 to 2022-06-13 00:00,41.430,4.01,
 2022-06-13 00:00 to 2022-06-14 00:00,31.060,3.01,
 2022-06-14 00:00 to 2022-06-15 00:00,26.660,2.58,
 2022-06-15 00:00 to 2022-06-16 00:00,27.110,2.62,
 2022-06-16 00:00 to 2022-06-17 00:00,24.320,2.35,
 2022-06-17 00:00 to 2022-06-18 00:00,16.290,1.58,
 2022-06-18 00:00 to 2022-06-19 00:00,16.510,1.60,
 2022-06-19 00:00 to 2022-06-20 00:00,21.470,2.08,
 2022-06-20 00:00 to 2022-06-21 00:00,44.500,4.31,
 2022-06-21 00:00 to 2022-06-22 00:00,30.310,2.93,
 2022-06-22 00:00 to 2022-06-23 00:00,35.910,3.47,
 2022-06-23 00:00 to 2022-06-24 00:00,28.760,2.78,
 2022-06-24 00:00 to 2022-06-25 00:00,28.950,2.80,
 2022-06-25 00:00 to 2022-06-26 00:00,35.450,3.43,
 2022-06-26 00:00 to 2022-06-27 00:00,42.120,4.08,
 2022-06-27 00:00 to 2022-06-28 00:00,27.840,2.69,
 2022-06-28 00:00 to 2022-06-29 00:00,18.130,1.75,
 2022-06-29 00:00 to 2022-06-30 00:00,23.640,2.29,
 2022-06-30 00:00 to 2022-07-01 00:00,24.780,2.40,
 2022-07-01 00:00 to 2022-07-02 00:00,23.920,2.31,
 2022-07-02 00:00 to 2022-07-03 00:00,30.760,2.98,
 2022-07-03 00:00 to 2022-07-04 00:00,25.850,2.50,
 2022-07-04 00:00 to 2022-07-05 00:00,45.320,4.39,
 2022-07-05 00:00 to 2022-07-06 00:00,30.180,2.92,
 2022-07-06 00:00 to 2022-07-07 00:00,28.990,2.81,
 2022-07-07 00:00 to 2022-07-08 00:00,28.660,2.77,
 2022-07-08 00:00 to 2022-07-09 00:00,27.810,2.69,
 2022-07-09 00:00 to 2022-07-10 00:00,36.630,3.54,
 2022-07-10 00:00 to 2022-07-11 00:00,41.330,4.00,
 2022-07-11 00:00 to 2022-07-12 00:00,39.350,3.81,
 2022-07-12 00:00 to 2022-07-13 00:00,28.560,2.76,
 2022-07-13 00:00 to 2022-07-14 00:00,28.380,2.75,
 2022-07-14 00:00 to 2022-07-15 00:00,25.060,2.42,
 2022-07-15 00:00 to 2022-07-16 00:00,26.640,2.58,
 2022-07-16 00:00 to 2022-07-17 00:00,31.030,3.00,
 2022-07-17 00:00 to 2022-07-18 00:00,37.200,3.60,
 2022-07-18 00:00 to 2022-07-19 00:00,32.690,3.16,
 2022-07-19 00:00 to 2022-07-20 00:00,25.740,2.49,
 2022-07-20 00:00 to 2022-07-21 00:00,30.290,2.93,
 2022-07-21 00:00 to 2022-07-22 00:00,24.690,2.39,
 2022-07-22 00:00 to 2022-07-23 00:00,25.110,2.43,
 2022-07-23 00:00 to 2022-07-24 00:00,33.230,3.22,
 2022-07-24 00:00 to 2022-07-25 00:00,34.190,3.31,
 2022-07-25 00:00 to 2022-07-26 00:00,30.510,2.95,
 2022-07-26 00:00 to 2022-07-27 00:00,24.080,2.33,
 2022-07-27 00:00 to 2022-07-28 00:00,30.780,2.98,
 2022-07-28 00:00 to 2022-07-29 00:00,29.150,2.82,
 2022-07-29 00:00 to 2022-07-30 00:00,26.750,2.59,
 2022-07-30 00:00 to 2022-07-31 00:00,33.740,3.26,
 2022-07-31 00:00 to 2022-08-01 00:00,33.880,3.28,
 2022-08-01 00:00 to 2022-08-02 00:00,28.220,2.73,
 2022-08-02 00:00 to 2022-08-03 00:00,26.700,2.58,
 2022-08-03 00:00 to 2022-08-04 00:00,30.540,2.96,
 2022-08-04 00:00 to 2022-08-05 00:00,31.820,3.08,
 2022-08-05 00:00 to 2022-08-06 00:00,24.420,2.36,
 2022-08-06 00:00 to 2022-08-07 00:00,30.970,3.00,
 2022-08-07 00:00 to 2022-08-08 00:00,42.070,4.07,
 2022-08-08 00:00 to 2022-08-09 00:00,21.570,2.09,
 2022-08-09 00:00 to 2022-08-10 00:00,24.410,2.36,
 2022-08-10 00:00 to 2022-08-11 00:00,36.020,3.49,
 2022-08-11 00:00 to 2022-08-12 00:00,27.620,2.67,
 2022-08-12 00:00 to 2022-08-13 00:00,29.420,2.85,
 2022-08-13 00:00 to 2022-08-14 00:00,27.080,2.62,
 2022-08-14 00:00 to 2022-08-15 00:00,42.090,4.07,
 2022-08-15 00:00 to 2022-08-16 00:00,27.430,2.65,
 2022-08-16 00:00 to 2022-08-17 00:00,21.520,2.08,
 2022-08-17 00:00 to 2022-08-18 00:00,32.650,3.16,
 2022-08-18 00:00 to 2022-08-19 00:00,21.030,2.04,
 2022-08-19 00:00 to 2022-08-20 00:00,18.980,1.84,
 2022-08-20 00:00 to 2022-08-21 00:00,24.630,2.38,
 2022-08-21 00:00 to 2022-08-22 00:00,32.120,3.11,
 2022-08-22 00:00 to 2022-08-23 00:00,14.700,1.42,
 2022-08-23 00:00 to 2022-08-24 00:00,21.090,2.04,
 2022-08-24 00:00 to 2022-08-25 00:00,20.620,2.00,
 2022-08-25 00:00 to 2022-08-26 00:00,22.260,2.15,
 2022-08-26 00:00 to 2022-08-27 00:00,13.380,1.29,
 2022-08-27 00:00 to 2022-08-28 00:00,39.120,3.79,
 2022-08-28 00:00 to 2022-08-29 00:00,34.220,3.31,
 2022-08-29 00:00 to 2022-08-30 00:00,22.750,2.20,
 2022-08-30 00:00 to 2022-08-31 00:00,16.010,1.55,
 2022-08-31 00:00 to 2022-09-01 00:00,13.730,1.33,
 2022-09-01 00:00 to 2022-09-02 00:00,27.510,2.66,
 2022-09-02 00:00 to 2022-09-03 00:00,23.110,2.24,
 2022-09-03 00:00 to 2022-09-04 00:00,15.690,1.52,
 2022-09-04 00:00 to 2022-09-05 00:00,16.240,1.57,
 2022-09-05 00:00 to 2022-09-06 00:00,29.230,2.83,
 2022-09-06 00:00 to 2022-09-07 00:00,21.720,2.10,
 2022-09-07 00:00 to 2022-09-08 00:00,21.410,2.07,
 2022-09-08 00:00 to 2022-09-09 00:00,22.430,2.17,
 2022-09-09 00:00 to 2022-09-10 00:00,17.220,1.67,
 2022-09-10 00:00 to 2022-09-11 00:00,14.960,1.45,
 2022-09-11 00:00 to 2022-09-12 00:00,14.010,1.36,
 2022-09-12 00:00 to 2022-09-13 00:00,20.320,1.97,
 2022-09-13 00:00 to 2022-09-14 00:00,27.210,2.63,
 2022-09-14 00:00 to 2022-09-15 00:00,18.310,1.77,
 2022-09-15 00:00 to 2022-09-16 00:00,19.530,1.89,
 2022-09-16 00:00 to 2022-09-17 00:00,18.210,1.76,
 2022-09-17 00:00 to 2022-09-18 00:00,26.040,2.52,
 2022-09-18 00:00 to 2022-09-19 00:00,33.810,3.27,
 2022-09-19 00:00 to 2022-09-20 00:00,21.210,2.05,
 2022-09-20 00:00 to 2022-09-21 00:00,27.900,2.70,
 2022-09-21 00:00 to 2022-09-22 00:00,23.590,2.28,
 2022-09-22 00:00 to 2022-09-23 00:00,21.440,2.07,
 2022-09-23 00:00 to 2022-09-24 00:00,21.580,2.09,
 2022-09-24 00:00 to 2022-09-25 00:00,27.720,2.68,
 2022-09-25 00:00 to 2022-09-26 00:00,22.790,2.21,
 2022-09-26 00:00 to 2022-09-27 00:00,15.480,1.50,
 2022-09-27 00:00 to 2022-09-28 00:00,12.980,1.26,
 2022-09-28 00:00 to 2022-09-29 00:00,17.290,1.67,
 2022-09-29 00:00 to 2022-09-30 00:00,15.990,1.55,
 2022-09-30 00:00 to 2022-10-01 00:00,8.930,0.86,
 2022-10-01 00:00 to 2022-10-02 00:00,17.790,1.72,
 2022-10-02 00:00 to 2022-10-03 00:00,34.670,3.36,
 2022-10-03 00:00 to 2022-10-04 00:00,10.470,1.01,
 2022-10-04 00:00 to 2022-10-05 00:00,9.490,0.92,
 2022-10-05 00:00 to 2022-10-06 00:00,15.480,1.50,
 2022-10-06 00:00 to 2022-10-07 00:00,16.020,1.55,
 2022-10-07 00:00 to 2022-10-08 00:00,8.780,0.85,
 2022-10-08 00:00 to 2022-10-09 00:00,21.760,2.11,
 2022-10-09 00:00 to 2022-10-10 00:00,17.320,1.68,
 2022-10-10 00:00 to 2022-10-11 00:00,18.500,1.79,
 2022-10-11 00:00 to 2022-10-12 00:00,15.180,1.47,
 2022-10-12 00:00 to 2022-10-13 00:00,17.590,1.70,
 2022-10-13 00:00 to 2022-10-14 00:00,15.090,1.46,
 2022-10-14 00:00 to 2022-10-15 00:00,8.940,0.87,
 2022-10-15 00:00 to 2022-10-16 00:00,22.800,2.21,
 2022-10-16 00:00 to 2022-10-17 00:00,31.330,3.03,
 2022-10-17 00:00 to 2022-10-18 00:00,6.700,0.65,
 2022-10-18 00:00 to 2022-10-19 00:00,4.570,0.44,
 2022-10-19 00:00 to 2022-10-20 00:00,3.440,0.33,
 2022-10-20 00:00 to 2022-10-21 00:00,3.720,0.36,
 2022-10-21 00:00 to 2022-10-22 00:00,5.330,0.52,
 2022-10-22 00:00 to 2022-10-23 00:00,6.410,0.62,
 2022-10-23 00:00 to 2022-10-24 00:00,31.520,3.05,
 2022-10-24 00:00 to 2022-10-25 00:00,16.530,1.60,
 2022-10-25 00:00 to 2022-10-26 00:00,12.910,1.25,
 2022-10-26 00:00 to 2022-10-27 00:00,7.310,0.71,
 2022-10-27 00:00 to 2022-10-28 00:00,10.070,0.97,
 2022-10-28 00:00 to 2022-10-29 00:00,4.680,0.45,
 2022-10-29 00:00 to 2022-10-30 00:00,6.420,0.62,
 2022-10-30 00:00 to 2022-10-31 00:00,21.300,2.06,
 2022-10-31 00:00 to 2022-11-01 00:00,8.650,0.84,
 2022-11-01 00:00 to 2022-11-02 00:00,6.990,0.68,
 2022-11-02 00:00 to 2022-11-03 00:00,8.320,0.81,
 2022-11-03 00:00 to 2022-11-04 00:00,10.200,0.99,
 2022-11-04 00:00 to 2022-11-05 00:00,10.320,1.00,
 2022-11-05 00:00 to 2022-11-06 00:00,7.280,0.70,
 2022-11-06 00:00 to 2022-11-06 23:00,18.200,1.76,
 2022-11-07 00:00 to 2022-11-08 00:00,18.480,1.79,
 2022-11-08 00:00 to 2022-11-09 00:00,13.210,1.28,
 2022-11-09 00:00 to 2022-11-10 00:00,12.430,1.20,
 2022-11-10 00:00 to 2022-11-11 00:00,10.210,0.99,
 2022-11-11 00:00 to 2022-11-12 00:00,9.330,0.90,
 2022-11-12 00:00 to 2022-11-13 00:00,5.150,0.50,
 2022-11-13 00:00 to 2022-11-14 00:00,10.420,1.01,
 2022-11-14 00:00 to 2022-11-15 00:00,9.090,0.88,
 2022-11-15 00:00 to 2022-11-16 00:00,7.360,0.71,
 2022-11-16 00:00 to 2022-11-17 00:00,4.110,0.40,
 2022-11-17 00:00 to 2022-11-18 00:00,5.560,0.54,
 2022-11-18 00:00 to 2022-11-19 00:00,4.990,0.48,
 2022-11-19 00:00 to 2022-11-20 00:00,6.760,0.65,
 2022-11-20 00:00 to 2022-11-21 00:00,12.410,1.20,
 2022-11-21 00:00 to 2022-11-22 00:00,8.230,0.80,
 2022-11-22 00:00 to 2022-11-23 00:00,10.740,1.04,
 2022-11-23 00:00 to 2022-11-24 00:00,11.070,1.07,
 2022-11-24 00:00 to 2022-11-25 00:00,6.810,0.66,
 2022-11-25 00:00 to 2022-11-26 00:00,6.480,0.63,
 2022-11-26 00:00 to 2022-11-27 00:00,9.910,0.96,
 2022-11-27 00:00 to 2022-11-28 00:00,12.420,1.20,
 2022-11-28 00:00 to 2022-11-29 00:00,6.990,0.68,
 2022-11-29 00:00 to 2022-11-30 00:00,4.230,0.41,
 2022-11-30 00:00 to 2022-12-01 00:00,6.200,0.60,
 2022-12-01 00:00 to 2022-12-02 00:00,7.420,0.72,
 2022-12-02 00:00 to 2022-12-03 00:00,4.490,0.43,
 2022-12-03 00:00 to 2022-12-04 00:00,7.850,0.76,
 2022-12-04 00:00 to 2022-12-05 00:00,8.890,0.86,
 2022-12-05 00:00 to 2022-12-06 00:00,5.220,0.51,
 2022-12-06 00:00 to 2022-12-07 00:00,7.140,0.69,
 2022-12-07 00:00 to 2022-12-08 00:00,14.800,1.43,
 2022-12-08 00:00 to 2022-12-09 00:00,10.960,1.06,
 2022-12-09 00:00 to 2022-12-10 00:00,8.040,0.78,
 2022-12-10 00:00 to 2022-12-11 00:00,11.770,1.14,
 2022-12-11 00:00 to 2022-12-12 00:00,24.320,2.35,
 2022-12-12 00:00 to 2022-12-13 00:00,5.720,0.55,
 2022-12-13 00:00 to 2022-12-14 00:00,13.470,1.30,
 2022-12-14 00:00 to 2022-12-15 00:00,4.900,0.47,
 2022-12-15 00:00 to 2022-12-16 00:00,5.190,0.50,
 2022-12-16 00:00 to 2022-12-17 00:00,6.010,0.58,
 2022-12-17 00:00 to 2022-12-18 00:00,9.780,0.95,
 2022-12-18 00:00 to 2022-12-19 00:00,15.190,1.47,
 2022-12-19 00:00 to 2022-12-20 00:00,8.750,0.85,
 2022-12-20 00:00 to 2022-12-21 00:00,5.320,0.51,
 2022-12-21 00:00 to 2022-12-22 00:00,6.760,0.65,
 2022-12-22 00:00 to 2022-12-23 00:00,8.850,0.86,
 2022-12-23 00:00 to 2022-12-24 00:00,8.490,0.82,
 2022-12-24 00:00 to 2022-12-25 00:00,5.900,0.57,
 2022-12-25 00:00 to 2022-12-26 00:00,5.100,0.49,
 2022-12-26 00:00 to 2022-12-27 00:00,4.480,0.43,
 2022-12-27 00:00 to 2022-12-28 00:00,4.030,0.39,
 2022-12-28 00:00 to 2022-12-29 00:00,3.130,0.30,
 2022-12-29 00:00 to 2022-12-30 00:00,10.100,0.98,
 2022-12-30 00:00 to 2022-12-31 00:00,8.880,0.86,
 2022-12-31 00:00 to 2023-01-01 00:00,5.600,0.54,
 2023-01-01 00:00 to 2023-01-02 00:00,14.320,1.39,
 2023-01-02 00:00 to 2023-01-03 00:00,21.820,2.11,
 2023-01-03 00:00 to 2023-01-04 00:00,11.990,1.16,
 2023-01-04 00:00 to 2023-01-05 00:00,6.160,0.60,
 2023-01-05 00:00 to 2023-01-06 00:00,5.970,0.58,
 2023-01-06 00:00 to 2023-01-07 00:00,6.250,0.60,
 2023-01-07 00:00 to 2023-01-08 00:00,9.890,0.96,
 2023-01-08 00:00 to 2023-01-09 00:00,15.130,1.46,
 2023-01-09 00:00 to 2023-01-10 00:00,5.250,0.51,
 2023-01-10 00:00 to 2023-01-11 00:00,8.090,0.78,
 2023-01-11 00:00 to 2023-01-12 00:00,16.810,1.63,
 2023-01-12 00:00 to 2023-01-13 00:00,7.010,0.68,
 2023-01-13 00:00 to 2023-01-14 00:00,5.650,0.55,
 2023-01-14 00:00 to 2023-01-15 00:00,8.880,0.86,
 2023-01-15 00:00 to 2023-01-16 00:00,18.310,1.77,
 2023-01-16 00:00 to 2023-01-17 00:00,13.730,1.33,
 2023-01-17 00:00 to 2023-01-18 00:00,9.890,0.96,
 2023-01-18 00:00 to 2023-01-19 00:00,12.060,1.17,
 2023-01-19 00:00 to 2023-01-20 00:00,4.270,0.41,
 2023-01-20 00:00 to 2023-01-21 00:00,5.920,0.57,
 2023-01-21 00:00 to 2023-01-22 00:00,8.940,0.86,
 2023-01-22 00:00 to 2023-01-23 00:00,14.300,1.38,
 2023-01-23 00:00 to 2023-01-24 00:00,8.010,0.77,
 2023-01-24 00:00 to 2023-01-25 00:00,6.030,0.58,
 2023-01-25 00:00 to 2023-01-26 00:00,7.670,0.74,
 2023-01-26 00:00 to 2023-01-27 00:00,5.960,0.58,
 2023-01-27 00:00 to 2023-01-28 00:00,4.650,0.45,
 2023-01-28 00:00 to 2023-01-29 00:00,7.860,0.76,
 2023-01-29 00:00 to 2023-01-30 00:00,16.210,1.57,
 2023-01-30 00:00 to 2023-01-31 00:00,6.750,0.65,
 2023-01-31 00:00 to 2023-02-01 00:00,12.820,1.24,
 2023-02-01 00:00 to 2023-02-02 00:00,12.440,1.20,
 2023-02-02 00:00 to 2023-02-03 00:00,9.040,0.87,
 2023-02-03 00:00 to 2023-02-04 00:00,6.460,0.62,
 2023-02-04 00:00 to 2023-02-05 00:00,6.240,0.60,
 2023-02-05 00:00 to 2023-02-06 00:00,12.860,1.24,
 2023-02-06 00:00 to 2023-02-07 00:00,7.070,0.68,
 2023-02-07 00:00 to 2023-02-08 00:00,11.020,1.07,
 2023-02-08 00:00 to 2023-02-09 00:00,7.050,0.68,
 2023-02-09 00:00 to 2023-02-10 00:00,6.790,0.66,
 2023-02-10 00:00 to 2023-02-11 00:00,5.830,0.56,
 2023-02-11 00:00 to 2023-02-12 00:00,6.520,0.63,
 2023-02-12 00:00 to 2023-02-13 00:00,16.250,1.57,
 2023-02-13 00:00 to 2023-02-14 00:00,7.020,0.68,
 2023-02-14 00:00 to 2023-02-15 00:00,5.910,0.57,
